Invoice_ID,Date,Product_line,Total
750-67-8428,2019-01-05,Health and beauty,548.9715
226-31-3081,2019-03-08,Electronic accessories,80.22
631-41-3108,2019-03-03,Home and lifestyle,340.5255
123-19-1176,2019-01-27,Health and beauty,489.048
373-73-7910,2019-02-08,Sports and travel,634.3785
699-14-3026,2019-03-25,Electronic accessories,627.6165
355-53-5943,2019-02-25,Electronic accessories,433.692
315-22-5665,2019-02-24,Home and lifestyle,772.38
665-32-9167,2019-01-10,Health and beauty,76.146
692-92-5582,2019-02-20,Food and beverages,172.746
351-62-0822,2019-02-06,Fashion accessories,60.816
529-56-3974,2019-03-09,Electronic accessories,107.142
365-64-0515,2019-02-12,Electronic accessories,246.4875
252-56-2699,2019-02-07,Food and beverages,453.495
829-34-3910,2019-03-29,Health and beauty,749.49
299-46-1805,2019-01-15,Sports and travel,590.436
656-95-9349,2019-03-11,Health and beauty,506.6355
765-26-6951,2019-01-01,Sports and travel,457.443
329-62-1586,2019-01-21,Food and beverages,172.2105
319-50-3348,2019-03-11,Home and lifestyle,84.63
300-71-4605,2019-02-25,Electronic accessories,451.71
371-85-5789,2019-03-05,Health and beauty,277.137
273-16-6619,2019-03-15,Home and lifestyle,69.72
636-48-8204,2019-02-17,Electronic accessories,181.44
549-59-1358,2019-03-02,Sports and travel,279.1845
227-03-5010,2019-03-22,Home and lifestyle,441.756
649-29-6775,2019-02-08,Fashion accessories,35.196
189-17-4241,2019-03-10,Fashion accessories,184.107
145-94-9061,2019-01-25,Food and beverages,463.89
848-62-7243,2019-03-15,Health and beauty,235.2105
871-79-8483,2019-02-25,Fashion accessories,494.1825
149-71-6266,2019-01-28,Sports and travel,737.7615
640-49-2076,2019-01-10,Sports and travel,703.752
595-11-5460,2019-03-15,Health and beauty,202.818
183-56-6882,2019-02-06,Food and beverages,417.564
232-16-2483,2019-01-07,Sports and travel,71.526
129-29-8530,2019-03-10,Sports and travel,328.755
272-65-1806,2019-01-15,Electronic accessories,575.316
333-73-7901,2019-03-23,Health and beauty,461.328
777-82-7220,2019-03-03,Home and lifestyle,253.008
280-35-5823,2019-01-17,Home and lifestyle,91.056
554-53-8700,2019-02-02,Home and lifestyle,117.831
354-25-5821,2019-02-08,Sports and travel,435.456
228-96-1411,2019-03-04,Food and beverages,829.08
617-15-4209,2019-03-16,Health and beauty,32.277
132-32-9879,2019-03-09,Electronic accessories,394.632
370-41-7321,2019-02-27,Health and beauty,535.7205
727-46-3608,2019-02-06,Food and beverages,189.0945
669-54-1719,2019-02-10,Electronic accessories,119.259
574-22-5561,2019-03-19,Fashion accessories,867.615
326-78-5178,2019-02-03,Food and beverages,671.79
162-48-8011,2019-02-10,Food and beverages,234.0975
616-24-2851,2019-03-22,Fashion accessories,75.054
778-71-5554,2019-01-25,Fashion accessories,16.2015
242-55-6721,2019-03-07,Home and lifestyle,33.936
399-46-5918,2019-02-28,Electronic accessories,722.232
106-35-6779,2019-03-27,Home and lifestyle,93.114
635-40-6220,2019-02-07,Health and beauty,752.64
817-48-8732,2019-01-20,Home and lifestyle,759.675
120-06-4233,2019-03-12,Electronic accessories,192.843
285-68-5083,2019-02-15,Sports and travel,77.931
803-83-5989,2019-02-24,Home and lifestyle,351.099
347-34-2234,2019-02-03,Sports and travel,520.4115
199-75-8169,2019-03-06,Sports and travel,166.005
853-23-2453,2019-02-14,Health and beauty,318.108
877-22-3308,2019-03-13,Health and beauty,166.635
838-78-4295,2019-02-10,Health and beauty,70.287
109-28-2512,2019-01-07,Fashion accessories,614.943
232-11-3025,2019-01-24,Sports and travel,827.085
382-03-4532,2019-02-02,Health and beauty,19.2465
393-65-2792,2019-01-06,Food and beverages,939.54
796-12-2025,2019-02-11,Fashion accessories,652.26
510-95-6347,2019-03-05,Food and beverages,152.838
841-35-6630,2019-03-09,Electronic accessories,478.233
287-21-9091,2019-01-22,Home and lifestyle,705.6315
732-94-0499,2019-01-13,Electronic accessories,437.325
263-10-3913,2019-01-09,Fashion accessories,463.428
381-20-0914,2019-01-12,Fashion accessories,189.0945
829-49-1914,2019-03-05,Food and beverages,822.255
756-01-7507,2019-01-22,Health and beauty,106.995
870-72-4431,2019-01-21,Health and beauty,624.897
847-38-7188,2019-01-26,Food and beverages,304.542
480-63-2856,2019-01-23,Food and beverages,161.7
787-56-0757,2019-02-23,Food and beverages,337.512
360-39-5055,2019-03-09,Sports and travel,256.7775
730-50-9884,2019-03-05,Sports and travel,610.491
362-58-8315,2019-03-25,Fashion accessories,401.73
633-44-8566,2019-03-27,Food and beverages,362.943
504-35-8843,2019-01-02,Sports and travel,44.5935
318-68-5053,2019-02-27,Health and beauty,485.037
565-80-5980,2019-01-23,Home and lifestyle,198.996
225-32-0908,2019-01-26,Sports and travel,471.03
873-51-0671,2019-01-10,Sports and travel,161.553
152-08-9985,2019-03-12,Health and beauty,608.202
512-91-0811,2019-02-06,Health and beauty,94.2375
594-34-4444,2019-03-08,Electronic accessories,102.018
766-85-7061,2019-03-29,Health and beauty,922.635
871-39-9221,2019-02-09,Electronic accessories,78.435
865-92-6136,2019-03-23,Food and beverages,166.1625
733-01-9107,2019-03-05,Home and lifestyle,521.01
163-56-7055,2019-03-26,Fashion accessories,51.1455
189-98-2939,2019-03-01,Fashion accessories,742.2975
551-21-3069,2019-02-01,Electronic accessories,218.0115
212-62-1842,2019-03-28,Food and beverages,367.038
716-39-1409,2019-03-19,Health and beauty,223.0725
704-48-3927,2019-01-12,Electronic accessories,931.035
628-34-3388,2019-01-05,Fashion accessories,172.494
630-74-5166,2019-03-22,Sports and travel,391.419
588-01-7461,2019-03-24,Food and beverages,321.111
861-77-0145,2019-03-03,Electronic accessories,860.685
479-26-8945,2019-02-05,Sports and travel,34.629
210-67-5886,2019-02-05,Health and beauty,309.3615
227-78-1148,2019-02-15,Fashion accessories,535.374
645-44-1170,2019-01-19,Home and lifestyle,548.7615
237-01-6122,2019-02-01,Home and lifestyle,763.4655
225-98-1496,2019-03-02,Fashion accessories,85.113
291-32-1427,2019-03-05,Fashion accessories,115.185
659-65-8956,2019-01-16,Fashion accessories,53.928
642-32-2990,2019-02-02,Food and beverages,115.08
378-24-2715,2019-01-20,Home and lifestyle,112.224
638-60-7125,2019-02-14,Electronic accessories,836.304
659-36-1684,2019-01-12,Sports and travel,419.832
219-22-9386,2019-03-09,Sports and travel,944.622
336-78-2147,2019-03-13,Home and lifestyle,536.844
268-27-6179,2019-03-09,Fashion accessories,474.348
668-90-8900,2019-03-10,Home and lifestyle,688.6215
870-54-3162,2019-01-27,Sports and travel,169.3125
189-08-9157,2019-01-08,Fashion accessories,299.8485
663-86-9076,2019-01-08,Food and beverages,575.736
549-84-7482,2019-02-08,Sports and travel,853.146
191-10-6171,2019-01-25,Fashion accessories,291.207
802-70-5316,2019-03-06,Sports and travel,580.419
695-51-0018,2019-02-10,Sports and travel,146.328
590-83-4591,2019-02-17,Electronic accessories,550.935
483-71-1164,2019-03-08,Health and beauty,512.19
597-78-7908,2019-02-18,Fashion accessories,284.193
700-81-1757,2019-01-18,Electronic accessories,138.1275
354-39-5160,2019-02-18,Home and lifestyle,216.846
241-72-9525,2019-02-16,Sports and travel,545.055
575-30-8091,2019-03-16,Sports and travel,609.0
731-81-9469,2019-01-23,Sports and travel,942.9
280-17-4359,2019-01-25,Health and beauty,950.25
338-65-2210,2019-02-05,Health and beauty,720.3
488-25-4221,2019-02-22,Food and beverages,31.9305
239-10-7476,2019-01-21,Home and lifestyle,491.085
458-41-1477,2019-03-08,Health and beauty,291.438
685-64-1609,2019-02-10,Fashion accessories,316.47
568-90-5112,2019-03-19,Health and beauty,277.788
262-47-2794,2019-03-06,Home and lifestyle,603.624
238-49-0436,2019-03-27,Health and beauty,272.664
608-96-3517,2019-03-23,Fashion accessories,384.468
584-86-7256,2019-03-11,Sports and travel,254.016
746-94-0204,2019-01-29,Fashion accessories,786.618
214-17-6927,2019-02-07,Food and beverages,103.824
400-89-4171,2019-01-28,Sports and travel,680.148
782-95-9291,2019-02-20,Food and beverages,484.5225
279-74-2924,2019-01-04,Electronic accessories,75.7785
307-85-2293,2019-03-07,Home and lifestyle,263.97
743-04-1105,2019-03-30,Health and beauty,918.729
423-57-2993,2019-03-27,Sports and travel,588.357
894-41-5205,2019-01-19,Food and beverages,362.712
275-28-0149,2019-02-25,Sports and travel,66.8745
101-17-6199,2019-03-13,Food and beverages,336.5565
423-80-0988,2019-01-30,Sports and travel,160.44
548-46-9322,2019-02-20,Food and beverages,418.95
